filename,width,height,class,xmin,ymin,xmax,ymax
batch_1/000006.jpg,1537,2049,Bottle,517.0, 127.0,1984.0,3371.0
batch_1/000008.jpg,1537,2049,Carton,1.0, 457.0,2966.0,3568.0
batch_1/000008.jpg,1537,2049,Carton,531.0, 292.0,2543.0,2721.0
batch_1/000010.jpg,1537,2049,Bottle,632.0, 987.0,2037.0,2423.0
batch_1/000010.jpg,1537,2049,Bottle cap,632.0, 989.0,1581.0,2100.0
batch_1/000019.jpg,2049,1537,Bottle,209.0, 920.0,2503.0,2099.0
batch_1/000019.jpg,2049,1537,Bottle,1212.0, 822.0,2228.0,1983.0
batch_1/000019.jpg,2049,1537,Bottle cap,634.0, 1442.0,2078.0,1576.0
batch_1/000019.jpg,2049,1537,Can,589.0, 548.0,2390.0,1942.0
batch_1/000026.jpg,1537,2049,Can,556.0, 944.0,2027.0,2385.0
batch_1/000047.jpg,2049,1537,Can,1205.0, 47.0,2672.0,2258.0
batch_1/000047.jpg,2049,1537,Can,309.0, 11.0,2630.0,2357.0
batch_1/000047.jpg,2049,1537,Bottle,189.0, 751.0,3666.0,2126.0
batch_1/000047.jpg,2049,1537,Bottle cap,189.0, 903.0,2254.0,1763.0
batch_1/000047.jpg,2049,1537,Pop tab,569.0, 137.0,2276.0,1645.0
batch_1/000047.jpg,2049,1537,Pop tab,1540.0, 171.0,2295.0,1648.0
batch_1/000055.jpg,1537,2049,Can,515.0, 439.0,1894.0,3174.0
batch_1/000001.jpg,2049,1537,Bottle,826.0, 744.0,2513.0,1742.0
batch_1/000001.jpg,2049,1537,Bottle cap,1254.0, 777.0,2085.0,1584.0
batch_1/000005.jpg,1537,2049,Bottle,824.0, 557.0,1626.0,2285.0
batch_1/000007.jpg,1537,2049,Can,730.0, 126.0,1812.0,2658.0
batch_1/000007.jpg,1537,2049,Cup,804.0, 0.0,1759.0,2209.0
batch_1/000007.jpg,1537,2049,Pop tab,781.0, 125.0,1622.0,2106.0
batch_1/000012.jpg,1537,2049,Bottle,379.0, 1127.0,1962.0,2367.0
batch_1/000012.jpg,1537,2049,Plastic bag & wrapper,904.0, 1083.0,1574.0,2075.0
batch_1/000014.jpg,1537,2049,Styrofoam piece,1072.0, 983.0,1661.0,2196.0
batch_1/000014.jpg,1537,2049,Styrofoam piece,914.0, 1308.0,1780.0,2236.0
batch_1/000014.jpg,1537,2049,Can,672.0, 1069.0,1756.0,2210.0
batch_1/000014.jpg,1537,2049,Plastic bag & wrapper,401.0, 1033.0,1810.0,2322.0
batch_1/000014.jpg,1537,2049,Carton,836.0, 1010.0,1876.0,2256.0
batch_1/000014.jpg,1537,2049,Other plastic,775.0, 910.0,1696.0,2148.0
batch_1/000048.jpg,2049,1537,Bottle,1527.0, 460.0,2464.0,2570.0
batch_1/000048.jpg,2049,1537,Bottle,579.0, 521.0,2371.0,2458.0
batch_1/000048.jpg,2049,1537,Bottle,211.0, 1.0,2466.0,2954.0
batch_1/000048.jpg,2049,1537,Carton,1208.0, 611.0,2418.0,2419.0
batch_1/000048.jpg,2049,1537,Carton,863.0, 608.0,2402.0,2397.0
batch_1/000048.jpg,2049,1537,Bottle cap,1677.0, 460.0,2260.0,1635.0
batch_1/000048.jpg,2049,1537,Bottle cap,1325.0, 663.0,2204.0,1652.0
batch_1/000048.jpg,2049,1537,Bottle cap,969.0, 636.0,2195.0,1661.0
batch_1/000048.jpg,2049,1537,Bottle cap,610.0, 521.0,2234.0,1634.0
batch_1/000048.jpg,2049,1537,Bottle cap,212.0, 1.0,2218.0,1640.0
batch_1/000053.jpg,1537,2049,Bottle,398.0, 410.0,2671.0,3047.0
batch_1/000053.jpg,1537,2049,Bottle cap,1336.0, 410.0,1733.0,2259.0
batch_1/000053.jpg,1537,2049,Plastic bag & wrapper,0.0, 1.0,1875.0,2713.0
batch_1/000053.jpg,1537,2049,Plastic container,0.0, 369.0,2024.0,2368.0
batch_1/000056.jpg,1537,2049,Bottle,419.0, 8.0,2250.0,3903.0
batch_1/000058.jpg,1537,2049,Bottle,150.0, 328.0,2105.0,3353.0
batch_1/000058.jpg,1537,2049,Bottle,802.0, 405.0,2084.0,3453.0
batch_1/000058.jpg,1537,2049,Bottle cap,971.0, 405.0,1833.0,2240.0
batch_1/000060.jpg,1537,2049,Can,750.0, 244.0,1939.0,3516.0
batch_1/000060.jpg,1537,2049,Paper,1205.0, 989.0,1869.0,2651.0
batch_1/000003.jpg,1537,2049,Cup,714.0, 1093.0,1771.0,2286.0
batch_1/000011.jpg,1537,2049,Can,522.0, 1168.0,1777.0,2171.0
batch_1/000032.jpg,1537,2049,Can,503.0, 808.0,1982.0,2406.0
batch_1/000032.jpg,1537,2049,Pop tab,510.0, 953.0,1615.0,2110.0
batch_1/000040.jpg,2049,1537,Can,285.0, 402.0,2521.0,2161.0
batch_1/000040.jpg,2049,1537,Can,1450.0, 379.0,2563.0,2149.0
batch_1/000040.jpg,2049,1537,Pop tab,504.0, 451.0,2221.0,1633.0
batch_1/000040.jpg,2049,1537,Pop tab,1754.0, 479.0,2233.0,1621.0
batch_1/000043.jpg,2049,1537,Can,602.0, 290.0,2914.0,2596.0
batch_1/000043.jpg,2049,1537,Pop tab,923.0, 337.0,2276.0,1814.0
batch_1/000049.jpg,1537,2049,Can,399.0, 502.0,2020.0,2790.0
batch_1/000049.jpg,1537,2049,Pop tab,451.0, 572.0,1695.0,2122.0
batch_1/000054.jpg,1537,2049,Can,184.0, 898.0,2031.0,2903.0
